01348,Yponomeuta padella,Pflaumen-Gespinstmotte
01350,Yponomeuta cagnagella,Pfaffenhütchen-Gespinnstmotte
03956,Adscita statices,Ampfer-Grünwidderchen
03956*,Procrinidae compl.,Grünwidderchen-Kompl.
03983,Zygaena loti,Beilfleck-Widderchen
03998,Zygaena filipendulae,Sechsfleck-Widderchen
03998*,Zyg. 6-spot compl.,6-Fleck-Widd.-Kompl.
04151,Cossus cossus,Weidenbohrer
05751,Oncocera semirubella,Oncocera semirubella
06253,Crambus perlella,Weißer Graszünsler
06601,Pyrausta despicata,Olivbrauner Zünsler
06604,Pyrausta aurata,Goldzünsler
06605,Pyrausta purpuralis,Purpurroter Zünsler
06623,Sitochroa palealis,Möhrenzünsler
06658,Anania hortulata,Brennnesselzünsler
06667,Patania ruralis,Nesselzünsler
06720a,Cydalima perspectalis,Buchsbaumzünsler
06843,Macrogl. stellatarum,Taubenschwänzchen
06919,Carterocephal. palaemon,Gelbwürfeliger Dickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braundickkopffalter
06924,Thymelicus sylvestris,Braunkolbiger Braundickkopffalter
06924*,Thy. lin./syl. compl.,Braundickkopff.-Kompl.
06928,Hesperia comma,Komma-Dickkopffalter
06930,Ochlodes sylvanus,Rostfarbiger Dickkopffalter
06960,Papilio machaon,Schwalbenschwanz
06966,Leptidea sinapis/juvern.,Tintenfleck-Weißling
06969*,Lep. sin./reali compl.,Tintenfleck-Weißl.-Kompl.
06995,Pieris brassicae,Großer Kohlweißling
06997,Pieris mannii,Karstweißling
06998,Pieris rapae,Kleiner Kohlweißling
07000,Pieris napi,Grünader-Weißling
07001*,Pie. napi/rap. compl.,Kl. Kohlweißling-Kompl.
07015,Colias croceus,Postillion
07021,Colias hyale,Goldene Acht
07022*,Col. alfa./hyale compl.,Col. alfa./hyale-Kompl.
07024,Gonepteryx rhamni,Zitronenfalter
07030,Hamearis lucina,Schlüsselblumen-Würfelfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07047,Thecla betulae,Nierenfleck-Zipfelfalter
07049,Favonius quercus,Blauer Eichen-Zipfelfalter
07058,Callophrys rubi,Grüner Zipfelfalter
07063,Satyrium pruni,Pflaumen-Zipfelfalter
07065,Satyrium ilicis,Brauner Eichen-Zipfelfalter
07093,Cupido argiades,Kurzschwänziger Bläuling
07097,Celastrina argiolus,Faulbaumbläuling
07145,Aricia agestis,Kleiner Sonnenröschen-Bläuling
07152,Cyaniris semiargus,Rotklee-Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07202,Argynnis paphia,Kaisermantel
07204,Speyeria aglaja,Großer Perlmuttfalter
07210,Issoria lathonia,Kleiner Perlmuttfalter
07222,Boloria selene,Braunfleckiger Perlmuttfalter
07243,Vanessa atalanta,Admiral
07245,Vanessa cardui,Distelfalter
07248,Aglais io,Tagpfauenauge
07250,Aglais urticae,Kleiner Fuchs
07252,Polygonia c-album,C-Falter
07255,Araschnia levana,Landkärtchen
07258,Nymphalis polychloros,Großer Fuchs
07283,Melitaea athalia,Wachtelweizen-Scheckenfalter
07287,Limenitis camilla,Kleiner Eisvogel
07298,Apatura ilia,Kleiner Schillerfalter
07307,Pararge aegeria,Waldbrettspiel
07309,Lasiommata megera,Mauerfuchs
07334,Coenonympha pamphilus,Kleines Wiesenvögelchen
07340,Pyronia tithonus,Rotbraunes Ochsenauge
07344,Aphantopus hyperantus,Schornsteinfeger
07350,Maniola jurtina,Großes Ochsenauge
07354,Man./Pyr./Hyp. compl.,Ochsenaugen-Kompl.
07415,Melanargia galathea,Schachbrett
07547,Chiasmia clathrata,Klee-Gitterspanner
07613,Opisthograptis luteolata,Gelbspanner
07620,Pseudopanthera macularia,Pantherspanner
07665,Angerona prunaria,Schlehenspanner
07804,Ematurga atomaria,Heideland-Tagspanner
07824,Cabera pusaria,Weißstirn-Weißspanner
07916,Siona lineata,Hartheuspanner
08028,Timandra comae,Ampferspanner
08060,Scopula incanata,Weißgrauer Kleinspanner
08239,Scotopteryx chenopodiata,Braunbinden-Wellenstriemenspanner
08248,Xanthorhoe biriviata,Springkraut-Blattspanner
08255,Xanthorhoe montanata,Schwarzbraunbinden-Blattspanner
08274,Epirrhoe tristata,Fleckleib-Labkrautspanner
08275,Epirrhoe alternata,Graubinden-Labkrautspanner
08277,Epirrhoe rivata,Weißbinden-Labkrautspanner
08289,Camptogramma bilineata,Ockergelber Blattspanner
08304,Larentia clavaria,Malven-Blattspanner
08620,Aplocera plagiata,Großer Johanniskrautspanner
08631,Odezia atrata,Schwarzspanner
08965,Tyta luctuosa,Ackerwinden-Trauereule
08967,Euclidia mi,Scheck-Tageule
08969,Euclidia glyphica,Braune Tageule
08994,Hypena proboscidalis,Nessel-Schnabeleule
09056,Autographa gamma,Gammaeule
09338,Panemeria tenebrata,Hornkraut-Tageulchen
09771,Apamea sordens,Ackerrand-Grasbüscheleule
10099,Noctua comes,Breitflügelige Bandeule
10497,Eilema lutarella,Dunkelstirniges Flechtenbärchen
10572,Diaphora mendica,Grauer Fleckleibbär
10583,Diacrisia sannio,Rotrandbär
10603,Callimorpha dominula,Schönbär
10605,Euplagia quadripunctaria,Spanische Flagge
10607,Tyria jacobaeae,Blutbär
20000,NN,Neue Art
