06925a,Thymelicus christi,Kanaren-Dickkopf
06982a,Euchloe belemia eversi,Grüngestreifter Weißling
06989,Euchloe charlonia,
06995a,Pieris cheiranthi,Kanaren-Weißling
06995b,Pieris wollastoni,Madeira-Weißling
06998,Pieris rapae,Kleiner Kohlweißling
07005,Pontia daplidice,Westlicher Resedafalter
07015,Colias croceus,Postillion
07021,Colias hyale,Goldene Acht
07023,Catopsilia florella,
07026a,Gonepteryx cleobule,Kanaren-Zitronenfalter
07026b,Gonepteryx palmae,La Palma-Zitronenfalter
07026c,Gonepteryx eversi,La Gomera-Zitronenfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07058,Callophrys rubi,Grüner Zipfelfalter
07073,Lampides boeticus,Großer Wanderbläuling
07075,Cacyreus marshalli,Pelargonien-Bläuling
07077,Leptotes pirithous,Kleiner Wanderbläuling
07080,Cyclyrius webbianus,Kanarischer Bläuling
07082a,Azanus ubaldus,
07084,Zizeeria knysna,
07144,Aricia cramera,Südlicher Sonnenröschen- Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07163a,Polyommatus celina,
07203,Argynnis pandora,Kardinal
07210,Issoria lathonia,Kleiner Perlmuttfalter
07243,Vanessa atalanta,Admiral
07244,Vanessa vulcania,Kanaren-Admiral
07245,Vanessa cardui,Distelfalter
07246,Vanessa virginiensis,Amerikanischer Distelfalter
07292,Hypolimnas misippus,
07307,Pararge aegeria,Waldbrettspiel
07307b,Pararge xiphioides,Kanaren-Waldbrettspiel
07350,Maniola jurtina,Großes Ochsenauge
07441a,Hipparchia wyssii,Kanaren-Rostbinde
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Kleiner Monarch
10535,Utetheisa pulchella,Punktbär
20000,NN,Neue Art
