06995b,Pieris wollastoni,Madeiran large white
06998,Pieris rapae,Small white
07015,Colias croceus,Dark clouded yellow
07022,Colias alfacariensis,Berger's clouded yellow
07023,Catopsilia florella,African migrant
07026d,Goneptryx maderensis,Madeira brimstone
07034,Lycaena phlaeas phlaeoides,Small copper
07073,Lampides boeticus,Long-tailed blue
07075,Cacyreus marshalli,Geranium bronze
07210,Issoria lathonia,Queen of Spain fritillary
07243,Vanessa atalanta,Red admiral
07244,Vanessa vulcania,Canary red admiral
07245,Vanessa cardui,Painted lady
07246,Vanessa virginiensis,American painted lady
07292,Hypolimnas misippus,Danaid eggfly
07307,Pararge aegeria,Speckled wood
07307c,Pararge xiphia,Madeiran speckled wood
07436a,Hipparchia maderensis,Madeiran grayling
07441,Hipparchia statilinus,Tree grayling
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Plain tiger
10535,Utetheisa pulchella,Crimson-speckled flunkey
20000,NN,New species
