00063,Triodia sylvina,Orange swift
00354,Nemophora barbatellus, -
00363,Adela paludicolella,Opler's longhorn moth
01348,Yponomeuta padella,Orchard ermine
01350,Yponomeuta cagnagella,Spindle ermine
03966,Zygaena corsica,Corsican burnet
03977,Zygaena orana,Maghreb burnet
04030,Sesia apiformis,Hornet moth
04151,Cossus cossus,Goat moth
04176,Zeuzera pyrina,Leopard moth
04178,Phragmataecia castaneae,Reed leopard
04731,Celypha lacunana,Dark strawberry tortrix
05751,Oncocera semirubella,Rosy-striped knot-horn
06241,Chrysoteuchia culmella,Garden grass-veneer
06243,Crambus pascuella,Inlaid grass-veneer
06253,Crambus perlella,Weißer Graszünsler
06258,Agriphila tristella,Common grass-veneer
06266,Agriphila selasella,Pale-streak grass-veneer
06364,Pediasia contaminella,Waste grass-veneer
06416,Elophila nymphaeata,Brown china-mark
06499,Evergestis extimalis,Marbled yellow pearl
06601,Pyrausta despicata,Straw-barred Pearl
06604,Pyrausta aurata,Mint moth
06667,Patania ruralis,Mother of pearl
06752,Lasiocampa quercus,Oak eggar
06793,Saturnia pyri,Great peacock moth
06794a,Saturnia pavoniella,Southern small emperor moth
06822,Smerinthus ocellata,Eyed hawk-moth
06824,Laothoe populi,Poplar hawk-moth
06828,Agrius convolvuli,Convolvulus hawk-moth
06830,Acherontia atropos,Death's-head hawk-moth
06832,Sphinx ligustri,Privet hawk-moth
06834,Sphinx pinastri,Pine hawk-moth
06840,Hemaris fuciformis,Broad-bordered bee hawk-moth
06843,Macroglossum stellatarum,Hummingbird hawk-moth
06860,Hyles livornica,Striped hawk-moth
06862,Deilephila elpenor,Elephant hawk-moth
06863,Deilephila porcellus,Small elephant hawk-moth
06865,Hippotion celerio,Silver-striped hawk-moth
06882,Carcharodus alceae,Mallow skipper
06885,Muschampia floccifera,Tufted skipper
06893,Spialia therapne,Corsican red-underwing skipper
06911,Pyrgus armoricanus,Oberthür's grizzled skipper
06932,Gegenes pumilio,Pigmy skipper
06933,Gegenes nostradamus,Mediterranean skipper
06958,Iphiclides podalirius,Scarce swallowtail
06960,Papilio machaon,Swallowtail
06961,Papilio hospiton,Corsican swallowtail
06962,Papilio alexanor,Southern swallowtail
06966,Leptidea sinapis,Wood white
06973,Anthocharis cardamines,Orange tip
06987,Euchloe insularis,Corsican dappled white
06993,Aporia crataegi,Black-veined white
06995,Pieris brassicae,Large white
06998,Pieris rapae,Small white
07005,Pontia daplidice,Bath white
07015,Colias croceus,Dark clouded yellow
07024,Gonepteryx rhamni,Common brimstone
07026,Gonepteryx cleopatra,Cleopatra
07034,Lycaena phlaeas,Small copper
07049,Favonius quercus,Purple hairstreak
07058,Callophrys rubi,Green hairstreak
07073,Lampides boeticus,Long-tailed blue
07075,Cacyreus marshalli,Geranium bronze
07077,Leptotes pirithous,Lang's short-tailed blue
07097,Celastrina argiolus,Holly blue
07102,Pseudophilotes barbagiae,Sardinian blue
07129a,Plebejus bellieri,Bellier's Blue
07144,Aricia cramera,Spanish brown argus
07163,Polyommatus icarus,Common blue
07163a,Polyommatus celina,Southern blue page
07173,Lysandra coridon gennargenti,Chalkhill blue
07199,Libythea celtis,Nettle-tree butterfly
07202,Argynnis paphia,Silver-washed fritillary
07203,Argynnis pandora,Mediterranean fritillary
07207,Fabriciana elisa,Corsican fritillary
07210,Issoria lathonia,Queen of Spain fritillary
07243,Vanessa atalanta,Red admiral
07245,Vanessa cardui,Painted lady
07248,Aglais io,Peacock
07250a,Aglais ichnusa,Corsican small tortoiseshell
07252,Polygonia c-album,Comma
07258,Nymphalis polychloros,Large tortoiseshell
07288,Limenitis reducta,Southern white admiral
07294,Charaxes jasius,Two-tailed pasha
07307,Pararge aegeria,Speckled wood
07310,Lasiommata paramegaera,Corsican wall brown
07329,Coenonympha corinna,Corsican heath
07334,Coenonympha pamphilus,Small heath
07340,Pyronia tithonus,Gatekeeper
07341,Pyronia cecilia,Southern gatekeeper
07348,Maniola nurag,Sardinian meadow brown
07350,Maniola jurtina,Meadow brown
07433,Hipparchia neomiris,Corsican grayling
07434,Hipparchia aristaeus,Southern grayling
07447,Brintesia circe,Great banded grayling
07476,Danaus chrysippus,Plain tiger
07503,Watsonalla binaria,Oak hook-tip
07530,Ligdia adustata,Scorched carpet
07613,Opisthograptis luteolata,Brimstone moth
07804,Ematurga atomaria,Common heath
07824,Cabera pusaria,Common white wave
07836,Campaea margaritaria,Light emerald
08000,Hemistola chrysoprasaria,Small emerald
08028,Timandra comae,Blood-vein
08045,Scopula ornata,Lace border
08099,Idaea ochrata,Bright wave
08155,Idaea seriata,Small dusty wave
08184,Idaea aversata,Riband wave
08186,Idaea degeneraria,Portland Ribbon wave
08222,Lythria cruentaria, -
08255,Xanthorhoe montanata,Silver-ground carpet
08275,Epirrhoe alternata,Common carpet
08277,Epirrhoe rivata,Wood carpet
08289,Camptogramma bilineata,Yellow shell
08304,Larentia clavaria,Mallow
08385,Colostygia pectinataria,Green carpet
08447,Operophtera brumata,Winter moth
08620,Aplocera plagiata,Treble-bar
08622,Aplocera efformata,Lesser treble-bar
08750,Phalera bucephala,Buff-tip
08965,Tyta luctuosa,Four-spotted
08994,Hypena proboscidalis,Snout
09008,Rivula sericealis,Straw dot
09045,Diachrysia chrysitis,Burnished brass
09056,Autographa gamma,Silver Y
09097,Acontia trabealis,Spotted sulphur
09114,Deltote pygarga,Marbled white spot
09233,Cucullia verbasci,Mullein
09917,Lacanobia oleracea,Bright-line brown-eye
10000,Mythimna conigera,Brown-line bright eye
10001,Mythimna ferrago,Clay
10099,Noctua comes,Lesser yellow underwing
10102,Noctua janthina,Langmaid's yellow underwing
10397,Orgyia antiqua,Vapourer
10499,Eilema sororcula,Orange footman
10519,Amata marjana,Ragusa's nine-spotted
10535,Utetheisa pulchella,Crimson-speckled flunkey
10605,Euplagia quadripunctaria,Jersey tiger
10607,Tyria jacobaeae,Cinnabar
20000,NN,New species
