nocode,language,es
06925a,Thymelicus christi,Dorada canaria
06982a,Euchloe belemia eversi,Blanquiverdosa de Tenerife
06989,Euchloe charlonia,Azufrada africana
06995a,Pieris cheiranthi,Mariposa capuchina canaria
06998,Pieris rapae,Blanquita de la col
07005,Pontia daplidice,Blanquiverdosa
07015,Colias croceus,Amarilla
07021,Colias hyale,Azufrada
07022,Colias alfacariensis,Colias pálida
07023,Catopsilia florella,Migradora de la flor de gofio
07026a,Gonepteryx cleobule,Cleopatra canaria
07026b,Gonepteryx palmae,Cleopatra de La Palma
07026c,Gonepteryx eversi,Cleopatra de Gomera
07034,Lycaena phlaeas,Manto común
07058,Callophrys rubi,Cejiblanca
07073,Lampides boeticus,Estriada canela
07075,Cacyreus marshalli,Taladro del geranio
07077,Leptotes pirithous,Estriada gris
07080,Cyclyrius webbianus,Manto de Canarias
07082a,Azanus ubaldus,Laberinto del desierto
07084,Zizeeria knysna,Violetilla
07144,Aricia cramera,Morena común
07163,Polyommatus icarus,Icaro
07163a,Polyommatus celina,Niña celina
07203,Argynnis pandora,Pandora
07210,Issoria lathonia,Sofia
07243,Vanessa atalanta,Atalanta
07244,Vanessa vulcania,Vulcana
07245,Vanessa cardui,Cardera
07246,Vanessa virginiensis,Cardera americana
07292,Hypolimnas misippus,Falsa mariposa tigre
07307,Pararge aegeria,Ondulada
07307b,Pararge xiphioides,Ondulada de Tenerife
07350,Maniola jurtina,Loba
07441a,Hipparchia wyssii,Sátiro de Tenerife
07474,Danaus plexippus,Monarca
07476,Danaus chrysippus,Mariposa tigre
10535,Utetheisa pulchella,Escama de borde ensangrentad
20000,NN,New species
