06925a,Thymelicus christi,-
06982a,Euchloe belemia eversi,Piéride du sisymbre
06989,Euchloe charlonia,Piéride de la cléome
06995a,Pieris cheiranthi,Piéride de la capucine
06995b,Pieris wollastoni,Piéride du chou Madère
06998,Pieris rapae,Piéride de la rave
07005,Pontia daplidice,Marbré-de-vert
07015,Colias croceus,Souci
07021,Colias hyale,Soufré
07023,Catopsilia florella,Piéride du cassier
07026a,Gonepteryx cleobule,Citron de Canaries
07026b,Gonepteryx palmae,Citron de La Palma
07026c,Gonepteryx eversi,Citron de La Gomera
07034,Lycaena phlaeas,Cuivré commun
07058,Callophrys rubi,Thécla de la ronce
07073,Lampides boeticus,Azuré porte-queue
07075,Cacyreus marshalli,Argus des pélargoniums
07077,Leptotes pirithous,Azuré de la luzerne
07080,Cyclyrius webbianus,Azuré canarien
07082a,Azanus ubaldus,Azuré du seyal
07084,Zizeeria knysna,Azuré de la surelle
07144,Aricia cramera,Collier-de-corail des Canaries
07163,Polyommatus icarus,Argus bleu
07163a,Polyommatus celina,-
07203,Argynnis pandora,Cardinal
07210,Issoria lathonia,Petit nacré
07243,Vanessa atalanta,Vulcain
07244,Vanessa vulcania,Vulcain macaronésien
07245,Vanessa cardui,Belle-Dame
07246,Vanessa virginiensis,Vanesse des perlières
07292,Hypolimnas misippus,Nymphale du pourpier
07307,Pararge aegeria,Tircis
07307b,Pararge xiphioides,Tircis canarien
07350,Maniola jurtina,Myrtil
07441a,Hipparchia wyssii,Faune canarien
07474,Danaus plexippus,Monarque
07476,Danaus chrysippus,Petit monarque
10535,Utetheisa pulchella,Ecaille du myosotis
20000,NN,Espèce indéterminée
